paper_id	paper_type	title	authors	session_name	session_chair_name	session_chair_email	location
TVCG.2026.3694000	Full	 MAPLE: Self-supervised Learning-Enhanced Nonlinear Dimensionality Reduction for Visual Analysis	Zeyang Huang, Takanori Fujiwara, Angelos Chatzimparmpas, Wandrille Duchemin, Andreas Kerren	That's way too many dimensions for me			Boston
TVCG.2025.3622114	Full	 Towards More Explainable Nonlinear Dimensionality Reduction: A Feature-Driven Interaction Approach	Aeri Cho; Hyeon Jeon; Kiroong Choe; Seokhyeon Park; Jinwook Seo	That's way too many dimensions for me			Boston
TVCG.2025.3644671	Full	 Topological Autoencoders++: Fast and Accurate Cycle-Aware Dimensionality Reduction	Mattéo Clémot, Julie Digne, Julien Tierny	That's way too many dimensions for me			Boston
TVCG.2025.3602735	Full	 UMATO: Bridging Local and Global Structures for Reliable Visual Analytics with Dimensionality Reduction	Hyeon Jeon, Kwon Ko, Soohyun Lee, Jake Hyun, Taehyun Yang, Gyehun Go, Jaemin Jo, Jinwook Seo	That's way too many dimensions for me			Boston
TVCG.2025.3572850	Full	 Into the Void: Mapping the Unseen Gaps in High Dimensional Data	Xinyu Zhang, Tyler Estro, Geoff Kuenning, Erez Zadok, Klaus Mueller	That's way too many dimensions for me			Boston
VIS 1839	Full	 Topological Analysis of Kernel Density Estimates via Uncertainty-Aware Morse Complexes and Coresets	Weiran Lyu, Jeff Phillips, Bei Wang	I'm not so certain			Boston
VIS 1733	Full	 Mixed Uncertainty in One View: Co-Visualizing Statistical Variability and Qualitative Confidence	Racquel Fygenson, Lace Padilla, Laura Matzen	I'm not so certain			Boston
TVCG.2026.3704459	Full	 A General Approach to Visualizing Uncertainty in Statistical Graphics	Bernarda Petek, David Nabergoj, Erik Štrumbelj	I'm not so certain			Boston
VIS 2057	Full	 Visual Indicators to Increase the Detection of Linguistic Media Bias	Smi Hinterreiter, Anna Chelsea Bahß, Ann-Christin Gah, Timo Spinde, Isao Echizen, Marc Latoschik	I'm not so certain			Boston
VIS 1610	Full	 Seeing Through the Forecast Clutter: Communicating Forecast Distributions with Weighted Multiple Forecast Visualizations	Ruishi Zou, Siyi Wu, Racquel Fygenson, Dakuo Wang, Michael Correll, Lace Padilla	I'm not so certain			Boston
VIS 2038	Full	 Probabilistic Latent Space Modeling for Coherent Ensemble Visualization	Cenyang Wu, Runhao Lin, Qinhan Yu, Liang Zhou	I'm not so certain			Boston
VIS 1173	Full	 Colour Blinded by the Noise	Harriet Mason, Rachel Rogers, Alison Kleffner, Di Cook	I'm not so certain			Pre-recorded talk
VIS 1026	Full	 Conveying Causality through Visualization: A Survey of Visual Causal Inference	Arran Zeyu Wang, David Borland, David Gotz	I don't trust you, explain yourself!			Boston
VIS 1382	Full	 Fact-check Your Information (FYI): A Design Probe to Understand How People Actually Fact-check Data-Driven Articles	Nguyen-Truong Thinh, Yuxuan DU, Phongsakon Konrad, Arpit Narechania	I don't trust you, explain yourself!			Boston
VIS 1563	Full	 Spatial Visual Analytics for Multi-Document Summary Verification	Jiahao Xu, Wei Liu, Yang Liu, Eric Krokos, Kirsten Whitley, Xuan Wang, Rebecca Faust, Chris North	I don't trust you, explain yourself!			Boston
VIS 2024	Full	 FOX: Visual Exploration of Data Fact Outliers	Yikai Li, Yong WANG	I don't trust you, explain yourself!			Boston
TVCG.2025.3646847	Full	 Do You "Trust" This Visualization? An Inventory to Measure Trust in Visualizations	Huichen Will Wang, Kylie Lin, Andrew Cohen, Ryan Kennedy, Zach Zwald, Carolina Nobre, and Cindy Xiong Bearfield	I don't trust you, explain yourself!			Boston
VIS 1761	Full	 FADEx: Feature Attribution and Distortion-based Explanation of Dimensionality Reduction	Lucas Greff Meneses, Evandro S. Ortigossa, Claudio Silva, Luis Gustavo Nonato	I don't trust you, explain yourself!			Boston
TVCG.2026.3689736	Full	 Interactive Visual Exploration of Rule-Based Model Logic	Natalia Andrienko, Gennady Andrienko, Bahavathy Kathirgamanathan	I don't trust you, explain yourself!			Boston
TVCG.2025.3602448	Full	 CausalChat: Interactive Causal Model Development and Refinement Using Large Language Models	Yanming Zhang, Akshith Kota, Eric Papenhausen, Klaus Mueller	Modern talking—visually			Boston
VIS 1494	Full	 Beyond One Output: Visualizing and Comparing Distributions of Language Model Generations	Emily Reif, Claire Yang, Jared Hwang, Deniz Nazar, Noah Smith, Jeffrey Heer	Modern talking—visually			Boston
VIS 2017	Full	 ChartFI: Benchmarking Faithfulness and Insightfulness of Chart Descriptions from Multimodal Large Language Models	Fen Wang, Zekai Shao, Qiman Kang, Chunran Hu, Zhixuan Zhang, Lexu Xie, Chao Liu, Siming Chen	Modern talking—visually			Boston
VIS 2178	Full	 Automatic Transfer Function Design via MLLM-Assisted 2D Semantic Decomposition	Haejin Jeong, Won-Ki Jeong	Modern talking—visually			Boston
TVCG.2026.3681983	Full	 Exploring MLLMs Perception of Network Visualization Principles	Jacob Miller, Markus Wallinger, Ludwig Felder, Timo Brand, Henry Förster, Johannes Zink, Chunyang Chen, Stephen Kobourov	Modern talking—visually			Boston
VIS 1059	Full	 VisCanvas: A Node-based Interface for Exploratory Visualization Authoring with LLM	Yuki Ueno, Bretho Danzy, Zhuojun Jiang, Chris Bryan	Modern talking—visually			Boston
VIS 1927	Full	 Flint: A Semantic-driven Data Visualization Intermediate Language	Yunhai Wang, Kecheng Lu, Junhao Chen, Alper Sarikaya, Chenglong Wang	Modern talking—visually			Boston
TVCG.2026.3675300	Full	 How We Map Possibilities: Understanding Design Spaces for Visualization	Zichun Dai, Yechun Peng, Nan Cao, and Yang Shi	From design spaces to visual design			Boston
VIS 1474	Full	 Representational Fidelity in Didactic Visualization: Toward a Multidimensional Design Space	Shehryar Saharan, Michele Oliver, Karen Gordon, Gaël McGill, Jodie Jenkinson	From design spaces to visual design			Boston
VIS 1634	Full	 A Design Space for Quantum Circuit Visualizations	Hyeok Kim, Leilani Battle	From design spaces to visual design			Boston
TVCG.2026.3671259	Full	 Crossing the Chasm: Bridging Visual Augmentations and Designer Intent	Luke S. Snyder, Maureen C. Stone, Jeffrey Heer	From design spaces to visual design			Boston
VIS 2132	Full	 Design Knowledge in Data Visualization: Mapping the Epistemic Landscape	Paul Parsons, Colin Gray, Ali Baigelenov	From design spaces to visual design			Boston
VIS 1782	Full	 Predicting affective connotation of visualizations from their constituent colors	Karen Schloss, Halle Braun, Kushin Mukherjee, Anna Chinni, Seth Gorelik	From design spaces to visual design			Boston
VIS 1765	Full	 Sheaves for Visual Encodings and Visual Fusion	Dhruv Meduri, Youjia Zhou, Bei Wang	From design spaces to visual design			Boston
TVCG.2025.3596541	Full	 More Like Vis, Less Like Vis: Comparing Interactions for Integrating User Preferences into Partial Specification Recommenders	Grace Guo, Subhajit Das, Jian Zhao, and Alex Endert	Please don't just stare at the picture			Boston
VIS 2046	Full	 Libra+: Compositional Interaction for Data Visualization	Xu Luo, Yue Zhao, Bongshin Lee, Jean-Daniel Fekete, Yunhai Wang	Please don't just stare at the picture			Tianjin
VIS 1587	Full	 KeySI: An Interaction Framework for Tuning Text Embeddings Based on Human Feedback	Yan Zhu, Yongbo Chen, Rebecca Faust	Please don't just stare at the picture			Boston
VIS 1085	Full	 UnitoPia: Interactive Construction of Pictorial Unit Visualization using a Contain-and-Fill Model	Xinghui Fu, Zhida Sun, Yoojin Jeon, Guozheng Li, Yu Zhang, Bongshin Lee, Min Lu	Please don't just stare at the picture			Boston
VIS 1792	Full	 Juicy Interactive Visualization: Evaluating How Excessive Feedback Design Shapes Visualization Engagement	Shano Liang, Max Chen, Lane Harrison	Please don't just stare at the picture			Boston
TVCG.2025.3615314	Full	 Distortion-aware brushing for reliable cluster analysis in multidimensional projections	Hyeon Jeon, Michaël Aupetit, Soohyun Lee, Kwon Ko, Youngtaek Kim, Ghulam Jilani Quadri, and Jinwook Seo	Please don't just stare at the picture			Boston
VIS 1468	Full	 ProVega: A Grammar to Ease the Prototyping, Creation, and Reproducibility of Progressive Data Analysis and Visualization Solutions	Matteo Filosa, Graziano Blasilli, Emilio Martino, Marco Angelini	Please don't just stare at the picture			Boston
VIS 1678	Full	 Designing a Visualization Atlas: Lessons & Reflections from The UK Co-Benefits Atlas for Climate Mitigation	Jinrui Wang, Alexis Pister, Sian Phillips, Sarah Bissett, Ruaidhri Higgins-Lavery, Clare Wharmby, Andrew Sudmant, Uta Hinrichs, Benjamin Bach	Places and spaces			Boston
VIS 2151	Full	 UrbanTrace: LLM-Assisted Discovery and Semantics-Aware Integration of Spatial Data	Sonia Castelo Quispe, Eden Wu, João Rulff, Harish Doraiswamy, Juliana Freire, Claudio Silva	Places and spaces			Boston
VIS 1018	Full	 Structuring Line Ensembles with Path-Integrated Fidelity and Structural Inconsistency Fields	Yumeng Xue, Patrick Paetzold, Bin Chen, Yunhai Wang, Christophe Hurter, Oliver Deussen	Places and spaces			Boston
TVCG.2025.3635528	Full	 A Neural Field-Based Approach for View Computation & Data Exploration in 3D Urban Environments	Stefan Cobeli, Kazi Shahrukh Omar, Rodrigo Valença, Nivan Ferreira, Fabio Miranda	Places and spaces			Boston
TVCG.2025.3586202	Full	 CounterCrime - Using counterfactual explanations to explore crime reduction scenarios	Marcos M. Raimundo, Germain Garcia-Zanabria, Luis Gustavo Nonato, Jorge Poco	Places and spaces			Boston
TVCG-2025-10-1105	Full	 Region-Aware Wasserstein Distances of Persistence Diagrams and Merge Trees	Mathieu Pont, Christoph Garth	Places and spaces			Boston
VIS 1326	Full	 SIGMA: A Spatial Interaction Grammar for Multi-Display Visual Analytics	Yogesh Rai, Haeyong Chung	Places and spaces			Boston
VIS 1051	Full	 Visualization Autocomplete: Visualization Authoring via Stepwise Design Recommendations	Hyeon Jeon, Sungbok Shin, Niklas Elmqvist	How can I do this myself?			Boston
TVCG.2026.3697212	Full	 GeoAuthor: Linking Text and Visualization for Geographic Article Authoring	Zhenning Chen, Hanbei Zhan, Shifu Chen, Zikun Deng, Di Weng, Yingcai Wu	How can I do this myself?			Boston
VIS 1615	Full	 Skeleton: Visual Authoring of Non-visual Data Experiences	Frank Elavsky, Chieri Nnadozie, Lucas Nadolskis, Patrick Carrington, Dominik Moritz	How can I do this myself?			Boston
VIS 1333	Full	 TailVis: Expressive Visualization Refinement Preserving Data-Binding Integrity	Yumin Song, Seokhyeon Park, Soohyun Lee, Aeri Cho, Hyeon Jeon, John Chung, Jinwook Seo	How can I do this myself?			Boston
VIS 1580	Full	 DataMagic: Authoring Data Videos through Declarative Multi-Agent Orchestration	Yupeng Xie, ZhenYang Wang, Liangwei Wang, Jiayi ZHU, Zhouan Shen, Yuyu Luo	How can I do this myself?			Boston
VIS 1374	Full	 The CAPED Framework: Characterizing User Skills in Visualization Authoring through the Lens of Tasks and Tools	Bongshin Lee, Zhicheng Liu, John Thompson, Chenglong Wang	How can I do this myself?			Boston
VIS 1394	Full	 Chart2SVG: Editable SVG Generation from Raster Chart Images	Jinning Cui, Lu Chen, Haoyan Shi, Yue He, Chenglong Wang, Mengyu Zhou, Weidong Huang, Yunhai Wang	How can I do this myself?			Tianjin
VIS 2088	Full	 DiffGraph: Controllable Graph Layout Generation with Diffusion Models	Guozheng Li, Xudong Zhou, Haotian Mi, Jinyuan Liang, Min Lu, Yi Chen, Takayuki Itoh, Chi Harold Liu	Let's dig into the data (from China)			Pre-recorded talk
VIS 1702	Full	 Walking Through Discussions: A Mobile Visual Analytics System for In-Situ Group Discussion Analysis	Yiping Sun, Ziyao Kang, Wei Zeng, Minli Wu, Jiazhi Xia	Let's dig into the data (from China)			Tianjin
VIS 1442	Full	 Beyond Quantification of Neighborhoods: Perception-Driven Quality Measures for Dimensionality Reduction	Jiazhi Xia, Chunxi Deng, Xiangyu Zhu	Let's dig into the data (from China)			Tianjin
VIS 1414	Full	 VA-Bench: Benchmarking Multimodal Large Language Models for Visual Analytics Interface Construction	Yue Zhao, Hongxu Liu, Feiyu Wang, Xiaoyu Yang, Tong Ge, Zhen Yang, Chao Wang, Qiong Zeng	Let's dig into the data (from China)			Tianjin
VIS 2067	Full	 Probe-Driven Visual Analytics for Diagnosing and Enhancing Physical Knowledge in Air Quality Forecasting Models	Yiming Lin, Jinghan Bai, Huijie Zhang, Qiushi Xia, Jialu Dong	Let's dig into the data (from China)			Tianjin
VIS 1692	Full	 SNAP-tFDP: Massively Scalable Graph Layouts via Sparse Negative Sampling	Xin Chen, Shuowei Hou, Yifan Wang, Mingliang Xue, Zezheng Feng, Oliver Deussen, Weidong Huang, Yunhai Wang	Let's dig into the data (from China)			Tianjin
VIS 1006	Full	 EvoInsight: A Conversational Framework for End-to-End Generation of Topic-Oriented Videos from Large-Scale Texts	Zongchao Dai, Chenyi Liu, Jie Li	Let's dig into the data (from China)			Tianjin
VIS 1132	Full	 PROVA-GT: PROvenance-centered Visual Analytics for Grounded Theory	Qifan Zhou, Qingqing Bi, Weihua Zhou, Duo Chen, Siwei Fu	Let's dig into the data (from France)			Boston
VIS 1352	Full	 Exposing the Unsaid: Visualizing Hidden LLM Bias through Stochastic Path Aggregation	Matteo Pelossi, Rita Sevastjanova, Thilo Spinner, Mennatallah El-Assady	Let's dig into the data (from France)			Paris
VIS 1569	Full	 ForestVis: Visualization of 3D Forestry Point Clouds	Benjamin Powley, Petra Horváth, Basam Dahy, Nivan Ferreira, Johan Fransson, Andreas Kerren, Claudio Linhares, Amilcar Soares	Let's dig into the data (from France)			Paris
VIS 1301	Full	 What's Your VATI? Understanding Attraction Profiles for Data Visualization on Social Media	Chuyi Zheng, Zikai Li, Zijian Yang, Shenghong Li, Lixing Chen, Yang Shi	Let's dig into the data (from France)			Boston
VIS 1674	Full	 An Algorithmic Perspective on Information Visualization	Wouter Meulemans	Let's dig into the data (from France)			Paris
VIS 1306	Full	 VACP: Visual Analytics Context Protocol	Tobias Stähle, Péter Gyarmati, Thilo Spinner, Rita Sevastjanova, Dominik Moritz, Mennatallah El-Assady	Let's dig into the data (from France)			Paris
VIS 1789	Full	 ProgressiVis: A Language and Environment for Progressive Data Analysis and Visualization	Jean-Daniel Fekete, Christian Poli	Let's dig into the data (from France)			Paris
VIS 1067	Full	 PolarWeather: Visual Analysis of Multi-Platform Polarization Dynamics on Social Media	Jianing Yin, Tan Tang, Haobo Zheng, Buwei Zhou, Lu Ying, Songela Nurdawuliet, Yuan Tian, Tai-Quan Peng, Dazhen Deng, Yingcai Wu	My followers need to know about this!			Boston
VIS 2049	Full	 SocialFiVis: A Visual Analytics Sandbox for LLM-Driven Multi-Agent Simulation in Social Finance	Yi-Fan Cao, Qing Shi, Liangwei Wang, Leo Yu-Ho Lo, Lin Chen, Yuzi Han, Yang Wang, Kani Chen	My followers need to know about this!			Boston
TVCG.2025.3630646	Full	 EMINDS: Understanding User Behavior Progression for Mental Health Exploration on Social Media	Rui Sheng, Yifang Wang, Xingbo Wang, Shun Dai, Qingyu Guo, Tai-Quan Peng, Huamin Qu, and Dongyu Liu	My followers need to know about this!			Boston
VIS 1675	Full	 SOCAS: A Social Media Public Opinion Causal Analysis System Validated by the Funnel of Causality Theory	Chen Yi, Yihang Yang, Xingyu Lan, Siming Chen	My followers need to know about this!			Boston
VIS 1091	Full	 SMG-Vis: Supporting Judgment in Multi-Target Social Media Analysis through Group Exploration and Stance Reasoning	Yihang Yang, Kengyi Wang, Chen Yi, Chunran Hu, Xingyu Lan, Siming Chen	My followers need to know about this!			Tianjin
VIS 2165	Full	 Linking Heterogeneous Data with Coordinated Agent Flows for Social Media Analysis	Shifu Chen, Dazhen Deng, Zhihong Xu, Sijia Xu, Linyu Qin, Tai-Quan Peng, Yingcai Wu	My followers need to know about this!			Boston
VIS 1652	Full	 "It Seems Like Such a Simple Thing": Challenges and Opportunities for Giving Credit in Science Museums	Kate Blomgren, Derya Akbaba, Ryan Wyatt, Miriah Meyer	My followers need to know about this!			Boston
